name,type,source,address,grow,lat,lon
Manor Avenue Seniors Garden,Community Garden,CUSP,"1021 Manor Ave, Bronx, NY 10472, USA",Outdoor,40.8246506,-73.8756329
Mapes Avenue Garden,Community Garden,CUSP,"2124 Mapes Ave, Bronx, NY 10460, USA",Outdoor,40.8473461,-73.8849286
Neighborhood Advisory Committee Community Garden,Community Garden,CUSP,"360 E 151st St, Bronx, NY 10455, USA",Outdoor,40.81754220000001,-73.9185358
Palmas del Caribe,Community Garden,CUSP,"869 Eagle Ave, Bronx, NY 10456, USA",Outdoor,40.82202290000001,-73.90879129999999
Perry’s Garden,Community Garden,CUSP,"2139 Daly Ave, Bronx, NY 10460, USA",Outdoor,40.8459788,-73.8810603
Roberto Clemente Community Garden,Community Garden,CUSP,"1276 Shakespeare Ave, Bronx, NY 10452, USA",Outdoor,40.83896,-73.92238499999999
"Sun, Wind and Shade Oasis",Community Garden,CUSP,"955 Sherman Ave, Bronx, NY 10456, USA",Outdoor,40.8283692,-73.91942139999999
The William Rainey Garden,Community Garden,CUSP,"685 Beck St, Bronx, NY 10455, USA",Outdoor,40.81507,-73.90108099999999
Tremont Community Garden,Community Garden,CUSP,"1981 Lafontaine Ave, Bronx, NY 10457, USA",Outdoor,40.8471499,-73.8941885
Arbor House Hydroponic Farm,Community Garden,CUSP,"770 E 166th St, Bronx, NY 10456, USA",Outdoor,40.8261496,-73.9021039
Cheryl's Villa Garden,Community Garden,CUSP,"395 Kosciuszko St, Brooklyn, NY 11221, USA",Outdoor,40.6922856,-73.9388926
First Quincy Street Community Garden,Community Garden,CUSP,"397 Quincy St, Brooklyn, NY 11221, USA",Outdoor,40.6879009,-73.944383
Gates Harvest Garden,Community Garden,CUSP,"Victory Garden's Group, 953 Gates Ave, Brooklyn, NY 11221, USA",Outdoor,40.68905729999999,-73.9276467
Golde Harvent Garden,Community Garden,CUSP,"338 Throop Ave, Brooklyn, NY 11206, USA",Outdoor,40.6927289,-73.9430864
Hattie Carthan Community Garden,Community Garden,CUSP,"654A Lafayette Ave, Brooklyn, NY 11216, USA",Outdoor,40.6899323,-73.9488296
Kosciusko Garden/Learning Center,Community Garden,CUSP,"385 Kosciuszko St, Brooklyn, NY 11221, USA",Outdoor,40.692228,-73.939348
Spencer's Little Heaven,Community Garden,CUSP,"Spencer Pl, Brooklyn, NY 11216, USA",Outdoor,40.68131229999999,-73.95447089999999
Whole Neighborhood Garden,Community Garden,CUSP,"1007 Bedford Ave, Brooklyn, NY 11205, USA",Outdoor,40.68965499999999,-73.954802
Wyckoff-Bond Garden,Community Garden,CUSP,"189 Wyckoff St, Brooklyn, NY 11217, USA",Outdoor,40.6846279,-73.986744
Amboy Neighborhood Garden,Community Garden,CUSP,"199 Amboy St, Brooklyn, NY 11212, USA",Outdoor,40.6656,-73.913298
Brownsville Green Community Garden,Community Garden,CUSP,"93 New Lots Ave, Brooklyn, NY 11212, USA",Outdoor,40.658173,-73.9018059
ENY Success Garden,Community Garden,CUSP,"449 Williams Ave, Brooklyn, NY 11207, USA",Outdoor,40.6648803,-73.89749739999999
Georgia Avenue Community Garden,Community Garden,CUSP,"328 New Lots Ave, Brooklyn, NY 11207, USA",Outdoor,40.660996,-73.894443
Our Lady of the Presentation Garden,Community Garden,CUSP,"1661 St Marks Ave, Brooklyn, NY 11233, USA",Outdoor,40.6733684,-73.91184679999999
Phoenix Community Garden,Community Garden,CUSP,"2037 Fulton St, Brooklyn, NY 11233, USA",Outdoor,40.6785052,-73.9120885
Good Life Garden,Community Garden,CUSP,"46 Goodwin Pl, Brooklyn, NY 11221, USA",Outdoor,40.691243,-73.9236449
Moffat Street Garden,Community Garden,CUSP,"9 Moffat St, Brooklyn, NY 11207, USA",Outdoor,40.683557,-73.910674
1100 Bergen Street Community Garden,Community Garden,CUSP,"1100 Block Bergen Association Garden, 1101-1105 Bergen St, Brooklyn, NY 11216, USA",Outdoor,40.6762403,-73.94929970000001
